region,category,store_id,age_group,gender,income_band,units_sold,revenue,high_margin
Wales,Socks,Store_A,25-34,Female,High,1,9.571930962217916,1
Wales,Tights,Online,25-34,Male,Low,2,22.885952431389704,1
South East,Socks,Online,35-44,Male,Low,1,7.453992476105544,1
London,Accessories,Store_A,55+,Male,High,2,30.827833812460327,1
Midlands,Socks,Store_A,55+,Female,Medium,2,16.64202116798077,1
London,Tights,Online,18-24,Female,High,3,36.773255820236,1
Scotland,Tights,Online,45-54,Male,Low,1,12.013903591310413,1
North West,Legwear,Store_A,45-54,Female,Medium,3,28.52353149788667,1
Scotland,Socks,Online,55+,Female,Low,2,17.929823596540803,1
South East,Accessories,Store_A,18-24,Female,Medium,3,48.154495298626,1
South East,Legwear,Online,55+,Male,Low,2,18.76156199652235,1
North West,Tights,Online,18-24,Other,Medium,4,50.98520152098837,1
Scotland,Tights,Online,45-54,Male,Medium,5,68.06421432173047,1
North West,Accessories,Store_A,45-54,Female,Low,3,43.51775471179252,1
London,Tights,Online,35-44,Male,High,2,24.770342866664375,1
Wales,Accessories,Online,18-24,Male,Low,3,45.03910683357808,1
Scotland,Socks,Store_A,45-54,Female,Low,1,8.81177775194449,1
Scotland,Socks,Online,45-54,Female,Medium,1,8.723997166225386,1
Midlands,Legwear,Online,55+,Female,Low,1,9.52807562160361,1
Wales,Tights,Online,45-54,Male,Low,2,25.667672429157776,1
Wales,Accessories,Store_B,25-34,Female,Low,2,29.83092416814126,1
Wales,Tights,Store_A,55+,Male,Medium,1,11.298420528785565,1
Midlands,Tights,Store_B,35-44,Female,Low,1,11.848668328721105,1
North West,Socks,Store_B,18-24,Female,Medium,1,8.003604846935055,1
North West,Socks,Store_B,18-24,Female,Low,2,18.603717021936117,1
Scotland,Socks,Online,45-54,Male,High,1,8.477594667260876,1
Scotland,Socks,Store_B,55+,Female,Low,1,7.267194582769505,1
Scotland,Legwear,Store_B,25-34,Male,Medium,1,10.634946842549372,1
Midlands,Legwear,Store_A,45-54,Female,High,1,9.289597666535682,1
London,Legwear,Store_A,45-54,Male,Medium,2,21.410040229956245,1
Midlands,Tights,Online,18-24,Male,Medium,1,13.497987048443782,1
South East,Tights,Online,45-54,Male,Low,2,26.204866420353653,1
Midlands,Legwear,Online,55+,Female,High,2,18.129688306507298,1
Scotland,Socks,Store_A,18-24,Male,Low,1,7.451642794408362,1
South East,Accessories,Store_A,35-44,Female,Medium,1,16.18058238810587,1
North West,Legwear,Online,18-24,Male,Medium,1,9.701211284382957,1
North West,Tights,Store_A,18-24,Female,Medium,4,54.708191023694056,1
Midlands,Accessories,Store_A,55+,Male,Medium,2,35.23631631622291,1
North West,Accessories,Store_A,45-54,Female,Low,5,83.28806440695767,1
South East,Accessories,Online,45-54,Female,Low,1,14.939275544143936,1
North West,Legwear,Store_A,25-34,Female,Low,1,9.37973861973787,1
South East,Legwear,Store_A,18-24,Male,Low,2,21.249957294992193,1
Scotland,Tights,Store_A,35-44,Female,Low,2,22.039867436270363,1
London,Accessories,Store_A,18-24,Female,Low,1,16.821229022709844,1
South East,Legwear,Store_B,25-34,Male,Low,1,9.484736945579446,1
North West,Tights,Online,18-24,Male,Low,2,26.63512844467217,1
Wales,Legwear,Store_A,25-34,Other,Low,4,38.60885759690956,1
Wales,Tights,Online,18-24,Male,Medium,2,22.853840603698416,1
Scotland,Socks,Online,55+,Male,Medium,1,7.908518869662803,1
London,Legwear,Store_A,18-24,Female,High,5,47.45369113975976,1
Wales,Tights,Store_B,45-54,Female,Medium,3,33.58287156493807,1
Scotland,Accessories,Online,55+,Male,Medium,1,17.5313539157455,1
North West,Legwear,Store_A,45-54,Male,High,2,22.420303948908295,1
South East,Socks,Online,18-24,Female,Low,2,16.037497664683162,1
London,Tights,Store_B,55+,Male,Medium,5,57.592225755545044,1
North West,Legwear,Online,35-44,Female,Low,1,11.570170715013067,1
North West,Accessories,Online,25-34,Male,Medium,3,48.2185190545987,1
Wales,Legwear,Online,18-24,Female,Low,3,35.09182059768973,1
Wales,Accessories,Online,55+,Female,High,4,63.090929337184065,1
South East,Tights,Online,35-44,Female,Medium,1,11.816320327771415,1
Scotland,Socks,Store_A,25-34,Female,Medium,1,8.085045312801931,1
London,Accessories,Online,55+,Male,Low,2,31.66038268787887,1
London,Tights,Online,35-44,Male,Medium,2,26.390745085111135,1
North West,Tights,Online,25-34,Female,Medium,2,23.481385811321868,1
Scotland,Socks,Online,35-44,Female,Medium,1,8.633454158745215,1
London,Tights,Store_B,45-54,Male,High,1,11.163337110102546,1
South East,Socks,Online,45-54,Female,Low,3,27.12660096630837,1
North West,Legwear,Store_B,55+,Female,Low,1,9.30771731615894,1
South East,Legwear,Online,18-24,Female,Low,3,34.49110974330267,1
Midlands,Accessories,Store_A,35-44,Female,High,3,46.026851825213825,1
North West,Tights,Online,45-54,Female,High,1,11.758967444270082,1
Wales,Accessories,Store_A,18-24,Female,Low,1,17.890187650190608,1
London,Socks,Online,25-34,Female,Low,3,25.519607365491748,1
Midlands,Socks,Online,55+,Male,Low,2,15.263245198469937,1
Wales,Socks,Online,35-44,Female,Medium,1,8.803274201423644,1
London,Tights,Store_A,55+,Male,Low,2,28.352643981493156,1
North West,Legwear,Store_A,25-34,Female,Low,3,29.928981735121816,1
Midlands,Accessories,Online,18-24,Other,High,2,30.251447235796547,1
South East,Legwear,Store_A,45-54,Female,High,2,19.643777515983697,1
Scotland,Legwear,Online,35-44,Male,Medium,2,21.574646609155344,1
Wales,Legwear,Online,25-34,Male,Low,3,30.99896055212217,1
North West,Accessories,Store_A,25-34,Female,Medium,1,14.449036391500934,1
Wales,Accessories,Online,18-24,Other,Medium,1,14.387097248361227,1
South East,Socks,Online,35-44,Male,Low,1,8.990991069897044,1
London,Legwear,Online,35-44,Male,Medium,1,10.464587185571418,1
Midlands,Accessories,Store_A,18-24,Male,Medium,1,16.40177358682788,1
Wales,Tights,Store_A,35-44,Female,High,1,13.167629370463125,1
South East,Tights,Store_A,25-34,Female,High,2,24.662598273654115,1
South East,Tights,Online,25-34,Female,Low,1,13.13352619157728,1
North West,Legwear,Store_A,18-24,Other,Low,4,47.57795340123777,1
Wales,Tights,Store_A,35-44,Male,Low,4,45.56768560576241,1
London,Accessories,Store_A,18-24,Female,Medium,1,16.652303953456904,1
Midlands,Tights,Online,18-24,Male,High,1,12.267358308655279,1
London,Legwear,Online,45-54,Female,Medium,1,9.793063267701207,1
London,Accessories,Store_A,45-54,Female,Low,3,48.33497846715462,1
Scotland,Socks,Store_B,18-24,Male,Medium,3,27.179307556231713,1
North West,Tights,Online,18-24,Female,Low,1,13.66852450171071,1
North West,Legwear,Store_B,55+,Male,Low,1,11.591258550210252,1
Midlands,Tights,Store_B,35-44,Male,Low,2,25.83585496612342,1
North West,Socks,Online,45-54,Male,Medium,3,24.01424741706927,1
Wales,Legwear,Store_B,45-54,Female,Low,2,23.18811615827078,1
North West,Accessories,Online,25-34,Female,High,3,50.10895080671131,1
Wales,Legwear,Online,25-34,Male,Low,2,22.145715859278102,1
South East,Socks,Online,18-24,Male,High,4,34.00971002199814,1
South East,Tights,Store_A,55+,Male,Medium,2,25.577645224571064,1
North West,Accessories,Store_A,25-34,Female,Medium,1,16.873869745922825,1
Midlands,Legwear,Store_A,35-44,Male,Low,4,42.15008772103243,1
Scotland,Legwear,Store_A,45-54,Male,Low,1,11.339839149003943,1
Wales,Legwear,Store_B,45-54,Female,High,1,10.279012799970479,1
North West,Tights,Store_A,45-54,Female,Medium,2,24.53385660852339,1
South East,Tights,Store_A,18-24,Male,Medium,1,11.290215213673463,1
Midlands,Tights,Online,55+,Male,Low,6,65.47164365861275,1
Wales,Socks,Online,25-34,Male,Low,2,15.046775345537558,1
Scotland,Legwear,Online,18-24,Male,Low,2,22.8019114115955,1
South East,Tights,Online,45-54,Female,Medium,2,26.85297063804905,1
London,Socks,Online,45-54,Male,High,2,18.278009767931966,1
Wales,Accessories,Online,25-34,Male,High,1,15.706668926244888,1
Wales,Socks,Store_B,35-44,Male,High,2,15.412459527290897,1
Scotland,Accessories,Online,45-54,Male,Medium,2,27.60890438188381,1
Scotland,Accessories,Store_B,18-24,Female,Low,1,13.809276907075798,1
Midlands,Legwear,Store_A,55+,Other,High,3,28.60296890362592,1
Scotland,Accessories,Store_A,35-44,Male,High,1,16.98140332105154,1
Midlands,Accessories,Online,25-34,Female,Medium,2,31.251804624292724,1
Scotland,Tights,Store_A,18-24,Female,Medium,2,21.725840076340354,1
Scotland,Legwear,Online,45-54,Female,High,1,9.555965131653535,1
South East,Legwear,Store_A,35-44,Female,Low,4,47.91804922951493,1
Wales,Socks,Store_A,35-44,Male,Medium,5,46.5322541937463,1
North West,Legwear,Store_A,25-34,Male,Medium,2,20.292620384280106,1
South East,Accessories,Store_A,55+,Male,Low,1,16.427054753120004,1
South East,Tights,Store_B,35-44,Male,Medium,4,46.441687118807224,1
South East,Tights,Store_B,18-24,Male,Medium,3,33.54090312702048,1
Midlands,Accessories,Store_A,55+,Female,High,4,60.358553895238316,1
Scotland,Socks,Online,18-24,Female,Medium,1,7.766312702303832,1
Midlands,Accessories,Online,35-44,Male,Low,2,28.900724030015088,1
Midlands,Legwear,Online,35-44,Male,Low,2,22.47713575478588,1
South East,Legwear,Store_B,35-44,Female,Low,1,11.238661264424927,1
North West,Accessories,Online,55+,Female,Medium,2,28.498404599615277,1
North West,Accessories,Store_B,45-54,Female,Medium,3,46.708910152603366,1
South East,Accessories,Store_A,18-24,Male,Medium,5,68.22205075303843,1
London,Legwear,Store_A,35-44,Other,Medium,1,9.742976703087303,1
London,Socks,Online,18-24,Male,Medium,2,14.714891265155824,1
Midlands,Legwear,Online,55+,Male,High,1,11.85064082218358,1
Wales,Socks,Store_B,45-54,Female,Low,1,7.905346559596421,1
North West,Accessories,Store_B,55+,Female,Medium,1,14.287532981839254,1
North West,Legwear,Store_A,55+,Male,Low,4,38.14381958104998,1
Midlands,Tights,Store_B,18-24,Male,Medium,1,11.934795648494632,1
North West,Accessories,Store_B,45-54,Female,Low,1,16.390699703359996,1
South East,Legwear,Online,25-34,Female,Low,4,46.88768739432389,1
London,Tights,Online,55+,Female,Low,2,24.53299454652217,1
Midlands,Socks,Online,45-54,Female,Medium,5,42.736260340122485,1
Wales,Accessories,Store_A,18-24,Male,Medium,3,52.047255226568396,1
Wales,Accessories,Online,35-44,Other,Medium,1,17.836301747374094,1
Midlands,Legwear,Store_A,45-54,Female,Medium,4,40.87702733709183,1
London,Accessories,Online,55+,Male,Medium,2,34.107702536996804,1
London,Socks,Store_B,18-24,Female,Low,5,44.92706107871001,1
Scotland,Accessories,Online,35-44,Female,Low,3,49.063515349399864,1
Wales,Tights,Store_A,35-44,Male,Medium,3,40.508415815315026,1
Midlands,Socks,Online,25-34,Male,High,3,26.140227274584927,1
North West,Legwear,Store_B,18-24,Female,Medium,1,10.891891817948913,1
South East,Accessories,Store_B,45-54,Male,Low,1,13.619160351238694,1
South East,Socks,Online,45-54,Male,Low,1,8.799856265937295,1
London,Tights,Store_A,35-44,Female,Medium,1,11.704749664629581,1
South East,Socks,Store_B,18-24,Male,Medium,2,16.906402774914106,1
Midlands,Accessories,Online,18-24,Male,Low,2,32.82696217761161,1
North West,Socks,Store_A,55+,Female,Medium,3,23.183784029582313,1
South East,Accessories,Store_A,35-44,Female,Medium,1,17.24359483014717,1
Scotland,Tights,Online,18-24,Male,Medium,2,24.929181492787336,1
London,Socks,Store_A,25-34,Male,High,4,32.28837721132924,1
Wales,Socks,Store_A,45-54,Female,Low,1,7.772654130681807,1
Wales,Legwear,Store_A,35-44,Female,Medium,1,9.311464815768606,1
South East,Socks,Store_A,25-34,Male,High,3,24.28928273343333,1
Midlands,Tights,Online,55+,Male,Medium,2,27.688735144845126,1
Wales,Accessories,Store_A,45-54,Other,High,1,17.779507117543083,1
South East,Tights,Store_A,25-34,Male,High,4,52.25326485589029,1
Midlands,Legwear,Store_B,25-34,Male,Medium,4,44.470462281210395,1
Scotland,Accessories,Online,25-34,Female,Low,3,47.16495940742128,1
Wales,Socks,Online,35-44,Male,Medium,1,8.63294191698927,1
Scotland,Tights,Store_A,35-44,Male,Low,1,11.726596850701984,1
London,Accessories,Store_B,45-54,Female,Low,3,46.01263378731964,1
South East,Tights,Online,25-34,Male,High,1,13.740025184394487,1
London,Accessories,Store_B,45-54,Female,Low,1,15.4808540870026,1
South East,Tights,Online,55+,Female,Low,1,13.115346283366998,1
North West,Accessories,Store_B,25-34,Female,Low,2,35.537464175805894,1
Wales,Legwear,Online,25-34,Male,Medium,3,35.900280040455215,1
North West,Accessories,Online,35-44,Male,Low,1,13.55472654302837,1
Midlands,Tights,Store_B,35-44,Female,Medium,1,11.214802426737503,1
Wales,Tights,Online,25-34,Female,Low,1,12.673667703059138,1
Wales,Legwear,Store_A,18-24,Male,Low,3,32.032363364453296,1
Wales,Legwear,Online,25-34,Other,Low,3,28.65469748762973,1
North West,Tights,Online,18-24,Female,Low,4,53.57687707399395,1
South East,Tights,Store_A,45-54,Female,Low,1,12.11485443138272,1
Midlands,Tights,Store_B,55+,Male,Medium,2,28.034021519067124,1
Scotland,Legwear,Online,18-24,Male,High,2,20.68838690495708,1
Scotland,Accessories,Store_A,55+,Female,Medium,3,45.34856808259646,1
London,Socks,Online,35-44,Male,Low,2,18.20398575627183,1
South East,Legwear,Store_A,18-24,Female,Low,1,9.928614216265014,1
Wales,Accessories,Store_B,25-34,Male,Low,2,33.53702821000907,1
North West,Accessories,Online,25-34,Male,Low,5,77.20120623125051,1
South East,Tights,Online,35-44,Female,Medium,1,13.44751936374524,1
Wales,Tights,Store_B,18-24,Female,Low,1,13.650230820090215,1
Scotland,Tights,Store_A,55+,Male,Medium,2,21.722870999275692,1
Scotland,Accessories,Store_B,45-54,Female,Low,1,17.58078580249298,1
Wales,Socks,Store_B,45-54,Male,Low,2,16.785588688961408,1
South East,Accessories,Store_A,35-44,Male,Medium,4,60.97464009941118,1
London,Tights,Online,18-24,Male,Low,2,25.5727009334854,1
North West,Accessories,Store_A,35-44,Male,Medium,1,14.866127234709186,1
South East,Socks,Online,25-34,Female,High,1,7.55860266458705,1
London,Socks,Online,25-34,Male,Medium,1,7.764407282567954,1
Scotland,Legwear,Online,45-54,Male,Low,1,10.50109372933136,1
Midlands,Socks,Store_A,45-54,Male,Low,4,33.111610996022655,1
Scotland,Tights,Store_B,25-34,Male,Low,3,40.169680701734144,1
South East,Accessories,Store_B,35-44,Female,Medium,3,48.77143578475602,1
Wales,Legwear,Store_A,55+,Male,Low,3,28.038618626612124,1
London,Tights,Store_B,25-34,Male,High,1,11.720619426481896,1
Midlands,Socks,Store_B,45-54,Female,Medium,1,9.018968485401642,1
Scotland,Tights,Store_B,35-44,Male,High,3,32.93012137248566,1
Midlands,Tights,Store_B,18-24,Other,Medium,2,28.40984183921853,1
Scotland,Tights,Online,18-24,Female,Medium,3,32.4576348579257,1
South East,Tights,Store_B,18-24,Male,Low,5,54.03189512377721,1
Wales,Tights,Store_A,25-34,Male,Low,4,53.815726820538046,1
Scotland,Socks,Online,35-44,Male,Low,1,7.640597864880084,1
North West,Tights,Online,25-34,Female,Low,2,23.024308962687215,1
London,Accessories,Store_A,45-54,Female,High,5,74.5023008655829,1
Midlands,Legwear,Online,55+,Male,Medium,1,10.03001208604482,1
North West,Tights,Store_A,55+,Male,Low,2,24.318556907878506,1
London,Legwear,Store_B,35-44,Male,High,1,9.945547367532605,1
South East,Accessories,Online,18-24,Male,Medium,1,14.101641190358421,1
Scotland,Accessories,Online,25-34,Female,Medium,2,35.029031788516235,1
North West,Legwear,Online,45-54,Female,Medium,1,10.857565389314734,1
Scotland,Accessories,Store_A,25-34,Male,Low,2,34.068520575154594,1
South East,Socks,Store_A,55+,Female,High,2,15.456128146616248,1
Midlands,Accessories,Store_A,45-54,Male,Medium,2,28.375521249443857,1
London,Tights,Store_A,25-34,Male,Medium,2,22.358831813782466,1
Wales,Socks,Store_A,55+,Male,Low,2,15.849516533086499,1
Wales,Legwear,Online,35-44,Male,Low,2,19.732652156463256,1
North West,Tights,Store_B,45-54,Male,Medium,2,25.353833464398097,1
London,Legwear,Online,55+,Male,High,2,23.335382796212695,1
North West,Accessories,Store_A,25-34,Male,High,1,16.31965073252505,1
North West,Socks,Online,18-24,Female,Medium,2,18.33101041412938,1
North West,Tights,Store_B,45-54,Female,Medium,1,12.539319477367396,1
North West,Tights,Online,55+,Female,Low,2,23.479155470939244,1
South East,Legwear,Online,55+,Female,Low,1,9.21016698187665,1
South East,Legwear,Online,18-24,Female,Medium,2,22.15343677999924,1
North West,Accessories,Store_A,35-44,Male,Low,1,16.962982072172537,1
London,Socks,Online,55+,Female,Low,1,9.170110043173743,1
South East,Legwear,Store_A,45-54,Female,Low,2,23.47064501473632,1
South East,Accessories,Online,18-24,Male,Low,1,14.577329930807469,1
Wales,Legwear,Store_A,25-34,Female,Low,2,19.92555301046008,1
Midlands,Socks,Store_A,55+,Female,Low,2,17.72781879465478,1
Scotland,Socks,Store_A,55+,Male,Low,3,24.125938657342985,1
Midlands,Legwear,Online,45-54,Male,Medium,1,9.217864421936888,1
Scotland,Legwear,Store_A,18-24,Male,High,2,18.59203359616005,1
North West,Legwear,Store_B,18-24,Male,High,2,18.029739551155274,1
South East,Accessories,Store_A,25-34,Male,Low,4,55.30262302359139,1
Wales,Accessories,Online,35-44,Female,Low,4,56.928936407588715,1
North West,Socks,Online,55+,Female,Medium,4,29.176815275042973,1
North West,Socks,Online,55+,Female,Low,3,22.557693485340298,1
South East,Accessories,Online,45-54,Female,Low,1,15.046791379684782,1
South East,Tights,Online,55+,Male,High,1,12.55805787269049,1
Scotland,Accessories,Online,55+,Female,High,1,15.24814987582844,1
London,Socks,Online,35-44,Female,Low,3,27.066312702784927,1
South East,Accessories,Store_A,55+,Female,Low,3,46.78859685551892,1
Midlands,Socks,Online,25-34,Female,Medium,1,8.962639652995174,1
South East,Socks,Store_A,25-34,Female,Medium,1,9.144836507610465,1
Wales,Tights,Store_A,45-54,Female,Low,5,62.76860054325272,1
South East,Legwear,Store_A,35-44,Male,Low,3,28.603379981215163,1
Scotland,Legwear,Online,18-24,Female,Medium,2,20.877692842403242,1
Scotland,Tights,Online,55+,Female,High,1,12.599175498094578,1
Wales,Accessories,Store_A,35-44,Male,Low,1,13.982091669303928,1
Scotland,Accessories,Online,35-44,Male,High,1,14.026125845782751,1
South East,Tights,Online,45-54,Male,Low,3,39.770471001188724,1
Midlands,Accessories,Store_B,45-54,Female,Low,2,35.2312395056639,1
North West,Legwear,Store_A,18-24,Male,High,2,20.218727685127952,1
South East,Legwear,Store_A,25-34,Male,Medium,2,23.56017249784798,1
Midlands,Socks,Online,45-54,Female,Medium,1,9.262134729364313,1
London,Socks,Online,18-24,Male,Low,1,8.51200392599658,1
South East,Legwear,Store_B,35-44,Male,Medium,4,47.20700691952185,1
Wales,Tights,Online,55+,Male,High,1,11.868043166404911,1
Wales,Tights,Store_A,25-34,Female,Low,1,12.606806781918499,1
London,Accessories,Store_B,25-34,Male,High,1,16.287085112815795,1
South East,Legwear,Online,18-24,Female,High,2,19.59838292386014,1
Wales,Legwear,Store_A,45-54,Male,Medium,4,36.73606318655102,1
Midlands,Tights,Store_A,45-54,Male,Low,4,53.88853750326082,1
Midlands,Socks,Store_B,55+,Male,Medium,2,17.56536665532216,1
London,Accessories,Store_A,45-54,Male,High,3,44.400672684886096,1
Wales,Socks,Store_A,25-34,Female,Medium,3,28.21803768501337,1
Midlands,Socks,Online,45-54,Female,Medium,1,8.3618635161469,1
Midlands,Legwear,Store_A,45-54,Female,Low,3,30.09835386923943,1
London,Socks,Online,55+,Male,High,1,7.79324514232909,1
South East,Accessories,Store_A,35-44,Male,Medium,1,16.834985086584982,1
Scotland,Tights,Online,55+,Female,Medium,3,40.30748619591871,1
South East,Accessories,Online,35-44,Male,High,2,28.650733684140754,1
Scotland,Accessories,Online,18-24,Female,Low,2,33.479293069534094,1
Wales,Accessories,Online,18-24,Female,Low,1,17.81744281321942,1
London,Socks,Store_A,25-34,Male,Low,2,15.575972224803708,1
Wales,Accessories,Store_A,45-54,Female,Medium,3,51.810832066169546,1
Scotland,Accessories,Store_A,18-24,Female,Medium,3,53.749738504968064,1
Midlands,Tights,Store_B,45-54,Male,High,1,11.969844580258059,1
London,Legwear,Online,25-34,Male,Medium,1,11.383294303707066,1
North West,Socks,Store_A,25-34,Female,High,3,23.270133896184973,1
Midlands,Tights,Store_B,35-44,Female,Medium,6,66.49796138816832,1
Midlands,Legwear,Online,55+,Female,Low,2,18.956816071924948,1
Wales,Socks,Online,25-34,Female,Low,2,14.641290485638143,1
Scotland,Socks,Store_A,18-24,Male,Medium,4,37.62567498967663,1
Midlands,Accessories,Online,25-34,Female,Medium,1,15.781594920235193,1
South East,Legwear,Store_A,18-24,Female,Low,2,21.723913421876322,1
South East,Tights,Store_B,18-24,Male,Medium,1,14.145757595547764,1
London,Legwear,Online,45-54,Female,High,1,10.89872674482152,1
London,Socks,Online,35-44,Female,Low,2,17.901012373798576,1
Wales,Socks,Store_A,25-34,Male,Medium,2,17.29185394534745,1
North West,Tights,Store_A,55+,Female,Medium,1,13.589920836490755,1
Scotland,Legwear,Online,55+,Male,Low,1,10.837049727444157,1
Scotland,Socks,Online,25-34,Female,Medium,4,35.34362429555688,1
Scotland,Legwear,Online,18-24,Female,High,2,23.19943786388395,1
Wales,Tights,Online,45-54,Male,Low,2,22.13226415121821,1
Wales,Accessories,Store_B,55+,Female,Medium,1,15.050667646049254,1
London,Socks,Online,35-44,Male,Medium,2,15.924900493186088,1
South East,Accessories,Online,35-44,Female,Medium,3,42.5160359293581,1
Midlands,Legwear,Online,25-34,Female,Medium,5,51.25794956734022,1
Scotland,Legwear,Store_B,55+,Female,Medium,1,9.095457873074732,1
Wales,Tights,Online,35-44,Female,Low,1,11.369352035534925,1
Midlands,Socks,Online,45-54,Male,Medium,2,14.405949003678602,1
Midlands,Accessories,Online,35-44,Male,High,1,15.27038004042439,1
North West,Socks,Store_B,45-54,Female,Low,2,16.371942829719615,1
Midlands,Tights,Store_A,35-44,Male,High,2,25.786430192107403,1
Midlands,Socks,Online,18-24,Male,Medium,3,23.49920182721257,1
Scotland,Socks,Online,55+,Female,Low,1,8.181538545931254,1
North West,Socks,Store_B,18-24,Female,Medium,2,15.525362437254193,1
North West,Legwear,Store_A,45-54,Male,Low,1,11.950057844106679,1
Wales,Legwear,Online,55+,Other,High,2,21.46671781938406,1
Midlands,Accessories,Store_A,35-44,Male,Low,2,32.92721289324816,1
Scotland,Legwear,Store_B,25-34,Male,Low,2,18.635869188331352,1
Scotland,Accessories,Online,35-44,Male,Low,5,73.3576181377277,1
Wales,Socks,Online,45-54,Female,Medium,2,16.36528449097089,1
London,Socks,Online,35-44,Male,Medium,3,24.940005027273244,1
North West,Accessories,Store_A,35-44,Female,High,1,16.231596427667988,1
North West,Legwear,Store_B,45-54,Male,Low,4,44.15561752039488,1
Wales,Accessories,Store_B,45-54,Male,Low,3,42.0917089546457,1
Scotland,Socks,Online,55+,Female,Low,3,23.67120584306338,1
London,Legwear,Store_A,18-24,Male,Low,1,9.140707956293879,1
Scotland,Socks,Store_A,25-34,Female,Low,2,15.936213694849284,1
North West,Accessories,Online,18-24,Male,Low,1,15.74726992612572,1
Scotland,Accessories,Store_B,18-24,Female,Low,1,17.155611623880663,1
South East,Socks,Online,45-54,Male,Medium,3,28.502016849602406,1
London,Legwear,Online,35-44,Other,Medium,1,11.006087788424171,1
North West,Tights,Store_B,18-24,Female,Medium,2,22.123266835947643,1
North West,Accessories,Store_A,18-24,Male,Low,3,47.05625518880391,1
Midlands,Tights,Store_B,55+,Female,High,4,56.53767826364118,1
North West,Legwear,Online,55+,Other,Medium,3,35.078838528242976,1
Wales,Legwear,Online,35-44,Female,Low,5,47.728041486325,1
South East,Tights,Online,35-44,Male,Medium,1,14.27514268473951,1
Midlands,Socks,Store_B,18-24,Male,High,3,22.746000766217232,1
Scotland,Legwear,Online,55+,Female,Medium,5,51.27600718518395,1
Wales,Socks,Store_A,25-34,Female,Medium,1,7.8453872428753435,1
London,Tights,Online,35-44,Female,High,5,69.24424911259453,1
Scotland,Legwear,Store_B,55+,Female,Low,1,10.479579627589043,1
Scotland,Socks,Store_A,45-54,Female,Medium,1,9.519183031697445,1
Midlands,Accessories,Online,35-44,Female,Low,7,121.02513459710653,1
Scotland,Socks,Online,45-54,Female,Low,2,17.309187732010354,1
South East,Tights,Online,35-44,Male,Low,1,14.041627962163496,1
North West,Tights,Store_B,25-34,Female,Low,4,54.46810105467699,1
Midlands,Socks,Online,35-44,Female,Low,7,60.79159160507787,1
Scotland,Tights,Online,45-54,Male,Medium,3,41.427097543636656,1
Scotland,Legwear,Online,25-34,Male,Low,4,36.74196865574546,1
Wales,Accessories,Online,25-34,Male,High,2,34.48455576868573,1
North West,Accessories,Online,35-44,Female,Low,3,45.306989871313434,1
South East,Legwear,Store_A,45-54,Male,Medium,1,10.74328332356626,1
South East,Tights,Online,35-44,Male,Low,1,13.166850894802835,1
Wales,Socks,Store_B,45-54,Female,Low,1,8.149415858094718,1
South East,Tights,Online,45-54,Female,High,4,52.38601060192509,1
Wales,Legwear,Online,25-34,Female,Low,4,39.21429176832596,1
South East,Socks,Online,35-44,Female,Low,1,7.550300989242826,1
London,Socks,Online,55+,Female,Medium,1,7.920757016313424,1
North West,Socks,Store_B,18-24,Female,Medium,1,8.895916622313255,1
Wales,Tights,Online,25-34,Female,High,2,23.565980223635307,1
London,Legwear,Online,55+,Female,High,5,47.81329030808481,1
Scotland,Tights,Online,45-54,Other,High,3,42.947010344381354,1
Midlands,Accessories,Online,45-54,Male,High,3,40.91839982920127,1
Wales,Tights,Store_B,35-44,Male,Low,2,22.69268362017486,1
South East,Accessories,Store_B,55+,Female,Medium,1,16.368619207607612,1
London,Legwear,Online,25-34,Female,High,1,9.976301270522658,1
London,Socks,Online,35-44,Female,Medium,2,15.024809013934746,1
London,Legwear,Online,55+,Female,Medium,1,11.204017707438803,1
Midlands,Legwear,Store_A,45-54,Male,Low,3,30.64575705050466,1
North West,Socks,Store_B,18-24,Female,Medium,2,19.152266197319207,1
South East,Socks,Store_B,35-44,Male,Low,1,8.601270727508608,1
Wales,Tights,Store_B,45-54,Female,Low,3,40.501573713275505,1
North West,Socks,Online,18-24,Female,Low,4,33.45106447618068,1
London,Tights,Store_A,35-44,Male,Low,1,14.163842512850861,1
Scotland,Accessories,Online,35-44,Male,Low,3,42.30799779355796,1
Scotland,Socks,Store_B,25-34,Female,Low,4,33.98508425091585,1
Scotland,Accessories,Store_B,55+,Female,High,2,28.2726324982292,1
Midlands,Tights,Store_B,35-44,Male,Medium,1,12.596107356924026,1
North West,Socks,Online,18-24,Male,Medium,2,14.502794585619291,1
Midlands,Accessories,Online,25-34,Female,Medium,2,35.50949562613074,1
North West,Socks,Store_A,25-34,Male,Low,1,9.352699582818538,1
South East,Legwear,Store_A,45-54,Male,Medium,2,22.726313658809794,1
North West,Tights,Store_B,25-34,Female,Medium,1,13.95741845730959,1
Wales,Accessories,Store_A,25-34,Female,Medium,1,14.067274688268292,1
South East,Legwear,Online,45-54,Male,Medium,1,11.446695647231845,1
Scotland,Accessories,Store_A,55+,Female,Low,2,31.747215510575305,1
North West,Socks,Store_B,25-34,Male,Medium,2,17.631386751789105,1
Midlands,Accessories,Online,25-34,Male,Low,4,69.71029508151005,1
Wales,Socks,Store_B,35-44,Male,Low,2,16.768672519725143,1
London,Socks,Store_A,25-34,Male,Low,1,7.686717553476187,1
Midlands,Tights,Online,35-44,Male,Medium,2,27.67533529396234,1
Midlands,Socks,Online,55+,Female,Medium,3,23.542898097375744,1
